iter	Logloss
0	0.5663560026
1	0.4795232324
2	0.4124481315
3	0.3666810905
4	0.3268646777
5	0.2934734131
6	0.2687283838
7	0.2535839844
8	0.2391931022
9	0.2293868604
10	0.2201876432
11	0.2118756934
12	0.2062891943
13	0.2021397201
14	0.1975882731
15	0.1948527751
16	0.191874484
17	0.189467583
18	0.1878601709
19	0.1861887565
20	0.1852444352
21	0.1842807145
22	0.1834143864
23	0.1826041309
24	0.181894528
25	0.1813278044
26	0.1808645866
27	0.1805310465
28	0.180159069
29	0.1798266292
30	0.1796283626
31	0.1793092513
32	0.1789119434
33	0.1786869694
34	0.1784749382
35	0.1782660628
36	0.1781245915
37	0.1779017253
38	0.1777945133
39	0.1776670557
40	0.1775226009
41	0.1773575553
42	0.1772304622
43	0.1771383675
44	0.1770467139
45	0.1769437842
46	0.1768623324
47	0.1767631331
48	0.1767099365
49	0.1766267741
50	0.1765671582
51	0.1764982975
52	0.1764593701
53	0.1764086768
54	0.1763348014
55	0.176286639
56	0.1762371956
57	0.1761619808
58	0.1760998893
59	0.1760364714
60	0.1759849007
61	0.1758910319
62	0.1758584521
63	0.1758262321
64	0.1757684473
65	0.1757062028
66	0.1756340348
67	0.175591403
68	0.1755394596
69	0.1754920296
70	0.1754391162
71	0.1754016715
72	0.1753654508
73	0.1753226074
74	0.1752874251
75	0.1752121305
76	0.1751641325
77	0.1751223942
78	0.1750914469
79	0.1750582796
80	0.1749924137
81	0.1749619824
82	0.1749506917
83	0.1748780306
84	0.1748608317
85	0.1748165641
86	0.1747958382
87	0.1747615072
88	0.1747286914
89	0.174689847
90	0.1746589437
91	0.1746347477
92	0.1746156527
93	0.1745884196
94	0.174559694
95	0.1745355062
96	0.1745115951
97	0.1744712533
98	0.1744496842
99	0.1744258512
100	0.174377946
101	0.174354056
102	0.1743059896
103	0.174274707
104	0.1742207129
105	0.1741832194
106	0.1741686182
107	0.1741441504
108	0.1741021191
109	0.1740588704
110	0.1740185514
111	0.1739571745
112	0.173939694
113	0.1738879492
114	0.1738651449
115	0.1738336719
116	0.173816071
117	0.1738051123
118	0.1737790983
119	0.1737596615
120	0.1737144613
121	0.1737017822
122	0.1736885286
123	0.1736476563
124	0.1736246598
125	0.1736101253
126	0.1735843197
127	0.1735431331
128	0.1734968115
129	0.173462793
130	0.173429318
131	0.1734059342
132	0.1733781608
133	0.1733619792
134	0.1733096973
135	0.1732659684
136	0.1732268652
137	0.1731882048
138	0.1731500651
139	0.1731218538
140	0.1730872266
141	0.1730759196
142	0.1730304053
143	0.172989235
144	0.1729637695
145	0.1729413509
146	0.1728955387
147	0.1728508936
148	0.1728333952
149	0.1727975407
150	0.1727780208
151	0.1727443587
152	0.1726997754
153	0.1726682861
154	0.17261868
155	0.1725652572
156	0.1725317708
157	0.1725096387
158	0.1724825521
159	0.1724415234
160	0.1724135482
161	0.1723823828
162	0.1723424512
163	0.1723134766
164	0.1722739388
165	0.172242417
166	0.1721918734
167	0.1721516878
168	0.1721026888
169	0.1720571289
170	0.1720451367
171	0.172013252
172	0.1719681543
173	0.1719457845
174	0.171920957
175	0.1718635742
176	0.1718253548
177	0.1717906396
178	0.1717599837
179	0.1717319368
180	0.1716827246
181	0.1716498877
182	0.1716382487
183	0.1715983415
184	0.1715738037
185	0.1715320768
186	0.1714945915
187	0.1714796257
188	0.1714453613
189	0.1714075228
190	0.1713735514
191	0.1713612207
192	0.1713285091
193	0.1712902946
194	0.1712715007
195	0.1712392676
196	0.1712062679
197	0.1712015706
198	0.1711728337
199	0.1711231608
200	0.1711044906
201	0.1710805859
202	0.1710531185
203	0.17103146
204	0.1710007861
205	0.1709774154
206	0.1709469059
207	0.170928234
208	0.170904987
209	0.1708841878
210	0.1708660514
211	0.1708244076
212	0.17081361
213	0.1707759814
214	0.1707464746
215	0.1707051074
216	0.1706665804
217	0.1706338249
218	0.1706053483
219	0.1705824186
220	0.1705519645
221	0.1705116504
222	0.1704837207
223	0.1704461768
224	0.1704277393
225	0.1703951481
226	0.1703669873
227	0.1703600993
228	0.1703334619
229	0.1702936865
230	0.1702745068
231	0.1702517513
232	0.1702293392
233	0.1702086019
234	0.1701834717
235	0.170173099
236	0.1701672526
237	0.1701316536
238	0.1701074333
239	0.170079165
240	0.1700731364
241	0.1700387956
242	0.1700133968
243	0.1699867578
244	0.1699651107
245	0.1699465283
246	0.1699250505
247	0.1699058447
248	0.1698856494
249	0.1698691634
250	0.169852404
251	0.1698114144
252	0.1697893424
253	0.1697585775
254	0.1697245996
255	0.1696813818
256	0.1696472827
257	0.1696117627
258	0.1695811727
259	0.169565616
260	0.169544624
261	0.1695134285
262	0.1694865137
263	0.1694537394
264	0.1694195565
265	0.1693897835
266	0.1693482829
267	0.16933205
268	0.1693110986
269	0.1692831047
270	0.1692616024
271	0.1692316789
272	0.1692001481
273	0.1691654028
274	0.1691481763
275	0.1691287052
276	0.1691081299
277	0.1690730127
278	0.1690539128
279	0.1690265527
280	0.1690076676
281	0.1689759033
282	0.1689622673
283	0.1689487419
284	0.1689200863
285	0.1689070247
286	0.1688739657
287	0.1688425798
288	0.1688095557
289	0.1687782503
290	0.1687640812
291	0.1687513517
292	0.168724974
293	0.1686873617
294	0.1686651514
295	0.1686308529
296	0.1686117668
297	0.1685825659
298	0.1685545296
299	0.1685200407
300	0.1684971484
301	0.1684749894
302	0.1684481079
303	0.1684228035
304	0.1683933561
305	0.1683704671
306	0.1683364551
307	0.1683153581
308	0.1682926571
309	0.1682781445
310	0.1682608993
311	0.1682464111
312	0.1682284684
313	0.1682162109
314	0.168191158
315	0.1681713346
316	0.1681594906
317	0.1681413696
318	0.1681152799
319	0.1680844653
320	0.1680709562
321	0.168057181
322	0.168025494
323	0.1680024235
324	0.1679755754
325	0.1679587101
326	0.1679339339
327	0.1679129329
328	0.1678863265
329	0.1678622103
330	0.1678410303
331	0.1677942098
332	0.1677660954
333	0.1677454761
334	0.1677007088
335	0.1676705713
336	0.1676435685
337	0.1676157137
338	0.1675983252
339	0.1675491333
340	0.1675147786
341	0.1674815479
342	0.1674594328
343	0.1674225366
344	0.1674012402
345	0.1673898348
346	0.1673760213
347	0.1673432145
348	0.1673048763
349	0.1672845101
350	0.1672672437
351	0.1672376896
352	0.1672061239
353	0.1671827938
354	0.1671551131
355	0.1671291243
356	0.1671105371
357	0.1670957072
358	0.1670701864
359	0.1670434538
360	0.1670233032
361	0.1669886385
362	0.1669619198
363	0.1669275773
364	0.1669081266
365	0.1668900578
366	0.1668618937
367	0.166841075
368	0.1668172453
369	0.1668003247
370	0.1667766219
371	0.1667536035
372	0.1667216317
373	0.166690599
374	0.1666715625
375	0.1666476733
376	0.1666264933
377	0.1665987679
378	0.1665742285
379	0.1665491121
380	0.1665171053
381	0.1664964591
382	0.1664657031
383	0.1664447534
384	0.1664196891
385	0.1664000187
386	0.1663859432
387	0.166366665
388	0.1663347274
389	0.1663055518
390	0.1662818221
391	0.1662492432
392	0.1662216081
393	0.1661983008
394	0.1661801579
395	0.1661499626
396	0.1661409212
397	0.1661071452
398	0.1660877523
399	0.1660670695
400	0.1660401929
401	0.1660284253
402	0.1660026017
403	0.165983881
404	0.165964034
405	0.1659334245
406	0.165910083
407	0.1658957625
408	0.1658790332
409	0.1658624007
410	0.165847325
411	0.1658304264
412	0.1658096558
413	0.1657798779
414	0.1657635286
415	0.1657400773
416	0.1657102962
417	0.1656984595
418	0.1656703198
419	0.1656454077
420	0.1656185303
421	0.1656005005
422	0.1655842513
423	0.1655656445
424	0.1655426912
425	0.1655391976
426	0.1655147624
427	0.1654951685
428	0.1654611353
429	0.1654376042
430	0.1654201872
431	0.1654002767
432	0.1653832682
433	0.1653603573
434	0.1653459684
435	0.1653315576
436	0.1652958683
437	0.1652789925
438	0.1652611475
439	0.1652408822
440	0.1652250212
441	0.1652060335
442	0.165186429
443	0.165169716
444	0.1651410343
445	0.1651242741
446	0.1651108358
447	0.1650980363
448	0.1650734367
449	0.1650410726
450	0.1650203044
451	0.1650002873
452	0.1649759408
453	0.1649528442
454	0.164928033
455	0.1649101001
456	0.1648906299
457	0.1648611361
458	0.164843234
459	0.1648053662
460	0.1647875203
461	0.164780966
462	0.1647676326
463	0.1647313257
464	0.1647150114
465	0.1646888721
466	0.1646758643
467	0.1646634684
468	0.1646381592
469	0.1646216634
470	0.16459663
