Id,Probability
1,0.06
2,0.02
3,0.02
4,0.06
5,0.08
6,0.04
7,0.04
8,0.02
9,0.02
10,0.16
11,0.1
12,0.04
13,0.0
14,0.08
15,0.02
16,0.04
17,0.04
18,0.06
19,0.1
20,0.1
21,0.02
22,0.02
23,0.0
24,0.04
25,0.1
26,0.04
27,0.06
28,0.02
29,0.06
30,0.02
31,0.06
32,0.02
33,0.1
34,0.12
35,0.06
36,0.1
37,0.06
38,0.08
39,0.08
40,0.08
41,0.04
42,0.12
43,0.12
44,0.02
45,0.06
46,0.0
47,0.04
48,0.06
49,0.06
50,0.04
51,0.02
52,0.04
53,0.06
54,0.04
55,0.02
56,0.08
57,0.0
58,0.06
59,0.06
60,0.04
61,0.08
62,0.02
63,0.16
64,0.0
65,0.04
66,0.04
67,0.04
68,0.02
69,0.02
70,0.7
71,0.04
72,0.14
73,0.04
74,0.04
75,0.02
76,0.02
77,0.12
78,0.08
79,0.06
80,0.02
81,0.08
82,0.0
83,0.1
84,0.04
85,0.04
86,0.1
87,0.02
88,0.06
89,0.14
90,0.02
91,0.04
92,0.02
93,0.06
94,0.1
95,0.02
96,0.04
97,0.04
98,0.06
99,0.04
100,0.1
101,0.02
102,0.04
103,0.02
104,0.02
105,0.04
106,0.1
107,0.04
108,0.02
109,0.04
110,0.12
111,0.06
112,0.04
113,0.02
114,0.12
115,0.06
116,0.0
117,0.0
118,0.02
119,0.02
120,0.04
121,0.02
122,0.1
123,0.02
124,0.12
125,0.04
126,0.06
127,0.0
128,0.04
129,0.0
130,0.08
131,0.02
132,0.06
133,0.0
134,0.04
135,0.02
136,0.0
137,0.06
138,0.04
139,0.02
140,0.08
141,0.02
142,0.04
143,0.04
144,0.06
145,0.04
146,0.14
147,0.0
148,0.1
149,0.04
150,0.06
151,0.04
152,0.1
153,0.0
154,0.08
155,0.02
156,0.04
157,0.02
158,0.0
159,0.06
160,0.04
161,0.04
162,0.04
163,0.02
164,0.16
165,0.04
166,0.1
167,0.04
168,0.08
169,0.06
170,0.02
171,0.04
172,0.08
173,0.06
174,0.02
175,0.02
176,0.06
177,0.16
178,0.04
179,0.0
180,0.02
181,0.06
182,0.02
183,0.02
184,0.06
185,0.0
186,0.0
187,0.0
188,0.02
189,0.02
190,0.1
191,0.08
192,0.04
193,0.02
194,0.08
195,0.0
196,0.0
197,0.02
198,0.02
199,0.0
200,0.04
201,0.04
202,0.06
203,0.06
204,0.0
205,0.18
206,0.04
207,0.04
208,0.0
209,0.12
210,0.0
211,0.2
212,0.06
213,0.12
214,0.04
215,0.14
216,0.1
217,0.04
218,0.02
219,0.02
220,0.02
221,0.1
222,0.02
223,0.0
224,0.02
225,0.0
226,0.14
227,0.0
228,0.04
229,0.12
230,0.16
231,0.12
232,0.02
233,0.02
234,0.02
235,0.06
236,0.08
237,0.0
238,0.0
239,0.06
240,0.1
241,0.02
242,0.12
243,0.02
244,0.04
245,0.12
246,0.04
247,0.04
248,0.02
249,0.02
250,0.1
251,0.02
252,0.08
253,0.0
254,0.0
255,0.0
256,0.06
257,0.08
258,0.06
259,0.06
260,0.04
261,0.1
262,0.1
263,0.02
264,0.1
265,0.06
266,0.04
267,0.08
268,0.04
269,0.08
270,0.0
271,0.0
272,0.04
273,0.0
274,0.1
275,0.04
276,0.14
277,0.0
278,0.06
279,0.0
280,0.1
281,0.4
282,0.02
283,0.04
284,0.0
285,0.04
286,0.08
287,0.04
288,0.04
289,0.06
